"region","brains.average.rank","final.rank","G1.fMRI","T1T2ratio","Evolution.Expansion","CBF","AllometricScaling.PNC20mm","PET.AG","Externopyramidisation","Cortical.Thickness","PC1.AHBA","PC1.Neurosynth","regions_ColeAnt12","ColeAnticevicNetPartition","ColeAntNet_name","array_NetGroup","GeneExp_PC1","GeneExp_PC2","GeneExp_PC3","GeneExp_PC4","GeneExp_PC5"
"STGa",103.3,114.5,1.253940978,1.117855911,0.739506038,59.28514839,0.881918795,-0.465359807,0.273833236,3.299857104,10.508686,10.43580661,"L_STGa",6,"Language","Association",1.24651535439761,-0.58445773857609,-0.824695473098419,-0.516532327146423,-1.2952016473885
"PBelt",65.8,40,-3.506961968,1.49085344,1.119681928,70.04076551,0.889934982,-0.457227992,0.292880669,2.666773252,-5.648011212,-1.550323204,"L_PBelt",8,"Auditory","Sensory",-0.772421334351857,0.817234502904319,-0.884284579156253,0.285982036766551,-0.328254549321512
"A5",96.2,100,-2.095631195,1.311737442,1.310704514,71.75998138,0.819003357,-0.429129169,0.266595552,3.006775417,1.4438691,10.43580661,"L_A5",6,"Language","Transition",0.455297814988139,-0.589399065672178,0.476117869210915,0.572664676401028,-0.580784366935828
"PHA1",68.25,49,0.611933481,1.348825916,-1.795211897,54.18355826,0.644215704,-0.69332542,0.315596414,2.817200736,4.820368891,37.70019495,"L_PHA1",9,"Default","Association",0.309478278016102,2.70375982502545,0.653849773182094,0.256606367730805,-2.04456032456169
"PHA3",68.1,48,-1.304888487,1.256853034,-1.140905871,46.76369126,0.781682935,-0.518657782,0.507645106,2.696323677,6.750685521,39.14760929,"L_PHA3",5,"Dorsal-attention","Association",0.589769518543929,0.254243212212672,1.1582548381021,0.319880868153929,-0.994167953908644
"STSda",116.95,141,1.752532581,1.226788177,1.282251804,66.42506429,1.113676024,-0.27719684,0.27261994,2.783843213,5.512161902,18.15470858,"L_STSda",6,"Language","Association",0.794251862053718,-0.46770833382175,-0.157478033522383,-0.096534460374825,-0.696675749437575
"STSdp",100.5,108,1.801059984,1.337035875,1.477912575,66.62186838,1.052941416,-0.307102213,0.212089807,2.61597532,0.016242112,10.43580661,"L_STSdp",6,"Language","Transition",-0.277755979526245,-0.431215801606141,1.06445209915783,0.399032982887685,-0.521923289057948
"STSvp",120.05,150,5.8449665,1.273582117,1.4557625,66.02519157,1.037978794,-0.159739228,0.184669803,2.779958302,1.578898533,18.15470858,"L_STSvp",9,"Default","Transition",-0.125613444328894,-1.01656708468791,-0.651339692709067,1.29185871433153,-0.34551971885051
"TGd",103.05,113,4.672177798,1.08588071,0.636254677,18.54807905,0.743111394,-0.354962101,0.209340375,3.23123965,12.33187985,12.73740008,"L_TGd",9,"Default","Association",1.50138058135072,-0.469989874725402,-0.528861151842197,0.439100682838762,-0.622181009983446
"TE1a",132,169,6.412014944,1.162177715,1.574105575,58.31211114,1.097164703,0.009327711,0.312796854,3.187428833,6.895709174,29.06123426,"L_TE1a",9,"Default","Association",0.932527708641828,-0.513101814762246,0.799227079865749,0.449996192646,-0.278789641236337
"TE1p",128.6,165,5.071964629,1.232511337,1.497965198,72.61798819,1.112886155,0.054651747,0.411132885,2.958685008,2.918179683,15.57731266,"L_TE1p",7,"Frontoparietal","Association",0.210125141866229,-0.239820588769512,0.740798192775158,0.387928485089289,-0.675443305178093
"TE2a",112.5,128,4.87714166,1.186493195,1.658919718,28.66637513,1.01257583,0.094953147,0.235194552,2.859289639,7.495523468,1.154318187,"L_TE2a",9,"Default","Association",0.985553191006321,0.234300913422732,0.129999678043619,0.543486259655719,-0.532889544357028
